date,site,species,no,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3
04-Jun,sm,vacmem,9,,,,55,0.878,,
04-Jun,sm,vacmem,10,,,,56.9,0.772,,
30-May,sm,vibedu,1,,,,107.8,0.768,,
03-Jun,sm,vibedu,5,,,,143.5,0.659,,
29-May,sm,vibedu,7,,,,235,1.72,,
31-May,sm,vibedu,8,,,,131.6,0.898,,
30-May,sm,vibedu,9,,,,176.1,1.26,,
30-May,sm,vibedu,10,,,,143.4,8.73,,
29-May,sm,vibedu,12,,,,160.4,1.37,,
05-Jun,sm,vibedu,19,,,,191.1,1.669,,
05-Jun,sm,vibedu,20,,,,193.6,1.913,,
04-Jun,sm,vibedu,11_02,,,,196.8,1.004,,
